timestamp,pH,turbidity_NTU,CO2_ppm,alarm_flag,maintenance_log
2026-01-01 00:00:00,7.165,2.432,441.16,0,
2026-01-01 00:15:00,7.098,2.538,428.2,0,
2026-01-01 00:30:00,7.186,2.169,426.26,0,
2026-01-01 00:45:00,7.194,1.961,438.52,0,
2026-01-01 01:00:00,7.047,2.292,436.88,0,
2026-01-01 01:15:00,7.077,2.15,430.63,0,
2026-01-01 01:30:00,7.145,2.163,432.61,0,
2026-01-01 01:45:00,7.119,2.251,432.39,0,
2026-01-01 02:00:00,7.129,2.085,430.94,0,
2026-01-01 02:15:00,7.082,2.101,424.79,0,
2026-01-01 02:30:00,7.163,2.115,419.59,0,
2026-01-01 02:45:00,7.152,2.342,425.64,0,
2026-01-01 03:00:00,7.109,2.118,435.75,0,
2026-01-01 03:15:00,7.155,1.922,435.33,0,
2026-01-01 03:30:00,7.115,1.924,426.26,0,
2026-01-01 03:45:00,7.04,2.122,422.83,0,
2026-01-01 04:00:00,7.093,1.931,427.11,0,
2026-01-01 04:15:00,7.018,1.867,427.06,0,
2026-01-01 04:30:00,7.101,2.199,427.0,0,
2026-01-01 04:45:00,7.046,2.21,413.75,0,
2026-01-01 05:00:00,7.03,2.058,435.74,0,
2026-01-01 05:15:00,6.995,2.165,426.87,0,
2026-01-01 05:30:00,7.081,2.159,420.77,0,
2026-01-01 05:45:00,7.002,2.232,417.91,0,
2026-01-01 06:00:00,6.979,2.244,423.95,0,
2026-01-01 06:15:00,6.973,1.777,421.2,0,
2026-01-01 06:30:00,7.007,2.147,418.8,0,
2026-01-01 06:45:00,6.989,2.277,419.49,0,
2026-01-01 07:00:00,6.982,2.156,416.44,0,
2026-01-01 07:15:00,6.973,2.242,417.75,0,
2026-01-01 07:30:00,7.05,2.369,418.31,0,
2026-01-01 07:45:00,6.913,2.29,416.07,0,
2026-01-01 08:00:00,6.899,2.526,415.16,0,
2026-01-01 08:15:00,6.876,2.492,418.9,0,
2026-01-01 08:30:00,6.939,2.329,406.31,0,
2026-01-01 08:45:00,6.958,2.342,408.9,0,
2026-01-01 09:00:00,6.888,1.969,411.62,0,
2026-01-01 09:15:00,6.845,2.373,408.06,0,
2026-01-01 09:30:00,6.84,2.245,408.9,0,
2026-01-01 09:45:00,6.908,2.507,415.17,0,
2026-01-01 10:00:00,6.907,2.523,409.01,0,
2026-01-01 10:15:00,6.893,2.631,401.92,0,
2026-01-01 10:30:00,6.828,2.762,407.22,0,
2026-01-01 10:45:00,6.87,2.574,408.87,0,
2026-01-01 11:00:00,6.861,2.946,408.57,0,
2026-01-01 11:15:00,6.864,2.663,410.45,0,
2026-01-01 11:30:00,6.895,2.457,410.0,0,
2026-01-01 11:45:00,6.862,2.593,407.47,0,
2026-01-01 12:00:00,6.884,2.644,403.23,0,
2026-01-01 12:15:00,6.854,2.811,406.26,0,
2026-01-01 12:30:00,6.866,2.601,405.61,0,
2026-01-01 12:45:00,6.884,2.719,407.09,0,
2026-01-01 13:00:00,6.782,2.759,411.17,0,
2026-01-01 13:15:00,6.842,2.734,410.25,0,
2026-01-01 13:30:00,6.838,2.939,412.21,0,
2026-01-01 13:45:00,6.834,2.929,407.7,0,
2026-01-01 14:00:00,6.856,3.021,415.64,0,
2026-01-01 14:15:00,6.95,2.809,412.71,0,
2026-01-01 14:30:00,6.838,3.05,410.93,0,
2026-01-01 14:45:00,6.936,2.674,413.39,0,
2026-01-01 15:00:00,6.81,2.678,408.81,0,
2026-01-01 15:15:00,6.884,2.71,403.65,0,
2026-01-01 15:30:00,6.917,2.898,410.27,0,
2026-01-01 15:45:00,6.946,3.08,416.32,0,
2026-01-01 16:00:00,6.961,2.81,414.32,0,
2026-01-01 16:15:00,6.973,2.828,414.15,0,
2026-01-01 16:30:00,6.925,2.864,412.02,0,
2026-01-01 16:45:00,6.929,2.978,408.32,0,
2026-01-01 17:00:00,7.004,2.815,422.59,0,
2026-01-01 17:15:00,6.961,2.799,416.83,0,
2026-01-01 17:30:00,6.917,2.668,416.72,0,
2026-01-01 17:45:00,6.934,2.773,416.53,0,
2026-01-01 18:00:00,6.954,3.023,425.02,0,
2026-01-01 18:15:00,7.035,2.846,424.31,0,
2026-01-01 18:30:00,7.027,2.706,417.7,0,
